,source,target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights,user_type
3139,Student11,ie3kt3oj3tb4fn,directed,post_graph,4,0,0,0,4,Student
3141,Student45,ie3kt3oj3tb4fn,directed,post_graph,4,0,0,0,4,Student
3143,Student73,ie3kt3oj3tb4fn,directed,post_graph,4,0,0,0,4,Student
3145,Student13,ie3kt3oj3tb4fn,directed,post_graph,4,0,0,0,4,Student
3171,Student85,ie4lk8786ca2p8,directed,post_graph,4,0,0,0,4,Student
3173,Student10,ie4lk8786ca2p8,directed,post_graph,4,0,0,0,4,Student
3175,Student22,ie4lk8786ca2p8,directed,post_graph,4,0,0,0,4,Student
3177,Student37,ie4lk8786ca2p8,directed,post_graph,4,0,0,0,4,Student
3247,Student54,ie5of7cebpt42x,directed,post_graph,4,0,0,0,4,Student
3249,Student46,ie5of7cebpt42x,directed,post_graph,4,0,0,0,4,Student
3251,Student40,ie5of7cebpt42x,directed,post_graph,4,0,0,0,4,Student
3253,Student43,ie5of7cebpt42x,directed,post_graph,4,0,0,0,4,Student
3256,Student8,ie5ojql5czc4xq,directed,post_graph,4,0,0,0,4,Student
3307,Student71,ie66ulv6b4g2we,directed,post_graph,4,0,0,0,4,Student
3309,Student51,ie66ulv6b4g2we,directed,post_graph,4,0,0,0,4,Student
3311,Student46,ie66ulv6b4g2we,directed,post_graph,4,0,0,0,4,Student
3313,Student56,ie66ulv6b4g2we,directed,post_graph,4,0,0,0,4,Student
3321,Student51,ie6a4i5yzqjys,directed,post_graph,4,0,0,0,4,Student
3323,Student9,ie6a4i5yzqjys,directed,post_graph,4,0,0,0,4,Student
3325,Student61,ie6a4i5yzqjys,directed,post_graph,4,0,0,0,4,Student
3327,Student32,ie6a4i5yzqjys,directed,post_graph,4,0,0,0,4,Student
3712,Student17,ieg46qbdhdz4im,directed,post_graph,4,0,0,0,4,Student
3714,Student85,ieg46qbdhdz4im,directed,post_graph,4,0,0,0,4,Student
3716,Student34,ieg46qbdhdz4im,directed,post_graph,4,0,0,0,4,Student
3718,Student42,ieg46qbdhdz4im,directed,post_graph,4,0,0,0,4,Student
4032,Student77,ieu2symy9bw6ag,directed,post_graph,4,0,0,0,4,Student
4036,Student38,ieu2symy9bw6ag,directed,post_graph,4,0,0,0,4,Student
4119,Student1,ievo75tk5ys1zv,directed,post_graph,4,0,0,0,4,Student
4121,Student43,ievo75tk5ys1zv,directed,post_graph,4,0,0,0,4,Student
4123,Student87,ievo75tk5ys1zv,directed,post_graph,4,0,0,0,4,Student
4125,Student56,ievo75tk5ys1zv,directed,post_graph,4,0,0,0,4,Student
4304,Student40,if17ge83o0f3ge,directed,post_graph,4,0,0,0,4,Student
4306,Student65,if17ge83o0f3ge,directed,post_graph,4,0,0,0,4,Student
4308,Student34,if17ge83o0f3ge,directed,post_graph,4,0,0,0,4,Student
4310,Student95,if17ge83o0f3ge,directed,post_graph,4,0,0,0,4,Student
4434,Student32,if4kp3klko94s0,directed,post_graph,4,0,0,0,4,Student
4436,Student73,if4kp3klko94s0,directed,post_graph,4,0,0,0,4,Student
4438,Student73,if4kp3klko94s0,directed,post_graph,4,0,0,0,4,Student
4586,Student61,if72c84okkj7cu,directed,post_graph,4,0,0,0,4,Student
4588,Student61,if72c84okkj7cu,directed,post_graph,4,0,0,0,4,Student
4590,Student45,if72c84okkj7cu,directed,post_graph,4,0,0,0,4,Student
4592,Student13,if72c84okkj7cu,directed,post_graph,4,0,0,0,4,Student
4634,Student73,if7m3o3grlx41v,directed,post_graph,4,0,0,0,4,Student
4636,Student24,if7m3o3grlx41v,directed,post_graph,4,0,0,0,4,Student
4638,Student34,if7m3o3grlx41v,directed,post_graph,4,0,0,0,4,Student
4664,Student73,if97p8gveci765,directed,post_graph,4,0,0,0,4,Student
4666,Student22,if97p8gveci765,directed,post_graph,4,0,0,0,4,Student
4668,Student13,if97p8gveci765,directed,post_graph,4,0,0,0,4,Student
4670,Student48,if97p8gveci765,directed,post_graph,4,0,0,0,4,Student
4686,Student33,ifaenapa86vr0,directed,post_graph,4,0,0,0,4,Student
4690,Student33,ifaenapa86vr0,directed,post_graph,4,0,0,1,5,Student
4692,Student33,ifaenapa86vr0,directed,post_graph,4,0,0,1,5,Student
4740,Student22,ife7utn1trtvu,directed,post_graph,4,0,0,0,4,Student
4742,Student35,ife7utn1trtvu,directed,post_graph,4,0,0,0,4,Student
4744,Student8,ife7utn1trtvu,directed,post_graph,4,0,0,0,4,Student
4812,Student2,ifigcq5fn5t1zf,directed,post_graph,4,0,0,0,4,Student
4814,Student83,ifigcq5fn5t1zf,directed,post_graph,4,0,0,0,4,Student
4818,Student56,ifigcq5fn5t1zf,directed,post_graph,4,0,0,0,4,Student
501,Student24,idlox93qedq5nt,directed,post_graph,4,43,0,0,47,Student
3107,Student85,ie30a4wqame7gi,directed,post_graph,4,48,0,0,52,Student
3306,Student6,ie66ulv6b4g2we,directed,post_graph,4,48,0,0,52,Student
4663,Student40,if97p8gveci765,directed,post_graph,4,48,0,0,52,Student
3355,Student95,ie781ssotvw31u,directed,post_graph,4,50,0,0,54,Student
4303,Student32,if17ge83o0f3ge,directed,post_graph,4,51,0,0,55,Student
3255,Student24,ie5ojql5czc4xq,directed,post_graph,4,53,0,0,57,Student
4737,Student77,ife7utn1trtvu,directed,post_graph,4,56,0,0,60,Student
4431,Student39,if4kp3klko94s0,directed,post_graph,4,57,0,0,61,Student
2933,Student80,idyzpozm3yk4y1,directed,post_graph,4,58,0,0,62,Student
446,Student60,idko1ucj5b58j,directed,post_graph,4,71,0,0,75,Student
4721,Student33,ifb39dg4jeb6vo,directed,post_graph,4,72,0,0,76,Student
311,Student51,idhbwempgx05wy,directed,post_graph,4,93,0,0,97,Student
